project,metric,n_before,n_after,median_before,median_after,p_value,cliffs_delta,effect_size,significant,faster_after_ci
AnalyticalGraphicsInc/cesium,delivery_time,515,547,954.39236111,908.77916667,2.2654167534224946e-50,0.5293303278252072,large,True,True
BabylonJS/Babylon.js,delivery_time,259,566,27.65972222,50.487847220000006,6.950943501540849e-10,-0.267282426293027,small,True,False
HabitRPG/habitica,delivery_time,177,983,643.89444444,193.55416667,1.1720072174344664e-13,0.3499433878763844,medium,True,True
Leaflet/Leaflet,delivery_time,290,874,108.84618055499999,466.935416665,1.8410171435740004e-18,-0.3431507930245404,medium,True,False
Netflix/Hystrix,delivery_time,146,438,1.535069445,21.046180555,0.0004507888972886271,-0.19373553512228686,small,True,False
Pylons/pyramid,delivery_time,138,1198,50.99027778,146.285069445,6.100351103996044e-11,-0.3396300597614381,medium,True,False
ReactiveX/RxJava,delivery_time,736,662,4.73958333,228.56284722499998,5.796472808325623e-69,-0.5429938920267963,large,True,False
TelescopeJS/Telescope,delivery_time,156,141,18.811805555,16.90902778,0.003648994749295091,0.19539916348426986,small,True,True
Theano/Theano,delivery_time,616,1882,143.299305555,226.955555555,0.01007096830552595,0.06898143036559615,negligible,True,True
TryGhost/Ghost,delivery_time,299,2275,15.85416667,19.98888889,0.000182822043600767,-0.1329133742511669,negligible,True,False
Yelp/mrjob,delivery_time,168,274,33.095486115,43.183680554999995,0.11032229661701667,-0.09045881126173097,negligible,False,False
aframevr/aframe,delivery_time,124,254,126.92326389,32.10972222,2.8810642582553195e-31,0.7366332232664465,large,True,True
alohaeditor/Aloha-Editor,delivery_time,270,198,31.017708329999998,2.0086805549999998,1.496779542546826e-22,0.5284137673026562,large,True,True
androidannotations/androidannotations,delivery_time,215,198,94.14583333,108.669444445,0.23231351463113303,-0.06802912849424478,negligible,False,False
andypetrella/spark-notebook,delivery_time,150,143,182.74618055500002,58.57916667,8.658771976586381e-19,0.5983216783216784,large,True,True
ansible/ansible,delivery_time,3150,1462,37.096875,123.295833335,0.0,-0.7846283629730962,large,True,False
apache/incubator-airflow,delivery_time,220,390,11.57013889,34.780208335,4.443684221824858e-16,-0.39590909090909093,medium,True,False
apereo/cas,delivery_time,227,673,355.00277778,182.10069444,4.2808400160871666e-16,0.36049381099816064,medium,True,True
appcelerator/titanium_mobile,delivery_time,5316,1265,58.283333330000005,76.32638889,0.00032453082228000766,-0.06493321674890033,negligible,True,False
bcit-ci/CodeIgniter,delivery_time,286,559,1141.9739583350001,704.21388889,2.1969812648279752e-116,0.9631459774572476,large,True,True
bokeh/bokeh,delivery_time,134,1417,12.443055555,16.94583333,0.1572824399583083,-0.07382635165738,negligible,False,False
boto/boto,delivery_time,205,715,34.32708333,16.19861111,1.2717402466637814e-07,0.24178065836602422,small,True,True
buildbot/buildbot,delivery_time,111,913,163.08888889,249.91180556,5.201126723891983e-07,-0.2914162793680866,small,True,False
bundler/bundler,delivery_time,193,410,89.39027778,78.01423611,0.9148053468494064,0.0054088209275875146,negligible,False,True
cakephp/cakephp,delivery_time,287,3653,22.35069444,28.22708333,0.0002936713685737179,-0.12817015464355105,negligible,True,False
callemall/material-ui,delivery_time,350,1323,9.139930555,17.19861111,2.16840406148076e-15,-0.275328798185941,small,True,False
chef/chef,delivery_time,103,1667,1147.05277778,33.01666667,1.3636909189482796e-33,0.7076429374319311,large,True,True
craftyjs/Crafty,delivery_time,305,129,31.83541667,217.98333333,2.845008105900969e-32,-0.7179819545050197,large,True,False
cython/cython,delivery_time,104,256,90.31909722500001,83.00520833499999,0.09166430815049656,0.11343149038461539,negligible,False,True
divio/django-cms,delivery_time,131,1909,87.36944444,33.26875,4.358523661958799e-09,0.30617124988503636,small,True,True
driftyco/ng-cordova,delivery_time,115,175,12.56111111,8.20833333,0.13883771873042755,0.10280745341614907,negligible,False,True
