project,metric,n_before,n_after,median_before,median_after,p_value,cliffs_delta,effect_size,significant,faster_after_ci
AnalyticalGraphicsInc/cesium,lifetime,515,547,955.9208333299999,910.75,5.713993751698323e-47,0.5104666228856428,large,True,True
BabylonJS/Babylon.js,lifetime,259,566,27.74513889,51.557291665,9.303459134395557e-10,-0.2652768871850144,small,True,False
HabitRPG/habitica,lifetime,177,983,645.31666666,199.74930555,1.8899822760692817e-12,0.33213786920013105,medium,True,True
Leaflet/Leaflet,lifetime,290,874,123.71354167000001,476.482291665,9.701607899917769e-18,-0.3357452852521108,medium,True,False
Netflix/Hystrix,lifetime,146,438,3.486805555,24.289583335,0.0009438574301911339,-0.18261712641521236,small,True,False
Pylons/pyramid,lifetime,138,1198,52.091666669999995,148.087499995,7.472614357898087e-11,-0.338051341607994,medium,True,False
ReactiveX/RxJava,lifetime,736,662,7.38125,233.51215278,7.846320438595944e-77,-0.5739503973466439,large,True,False
TelescopeJS/Telescope,lifetime,156,141,46.974652774999996,20.44097222,0.026487687059535938,0.14916348426986725,small,True,True
Theano/Theano,lifetime,616,1882,145.07638889,235.68680556,0.06321876123320216,0.04979591343831514,negligible,False,True
TryGhost/Ghost,lifetime,299,2275,17.16041667,23.5,1.7822108070427438e-08,-0.20006027417398656,small,True,False
Yelp/mrjob,lifetime,168,274,35.893750005,49.67118055500001,0.16083132809209222,-0.07944473409801876,negligible,False,False
aframevr/aframe,lifetime,124,254,128.44791666499998,38.150347225,3.0735930258942996e-31,0.7362839725679451,large,True,True
alohaeditor/Aloha-Editor,lifetime,270,198,63.212152780000004,6.110416665000001,1.1105032505291811e-21,0.5173213617658062,large,True,True
androidannotations/androidannotations,lifetime,215,198,115.06805555,123.227083335,0.37750131490310823,-0.05027014329339911,negligible,False,False
andypetrella/spark-notebook,lifetime,150,143,183.39513889,58.683333329999996,5.273334893111218e-19,0.602051282051282,large,True,True
ansible/ansible,lifetime,3150,1462,41.97534722,131.29513888999998,0.0,-0.7325032028315202,large,True,False
apache/incubator-airflow,lifetime,220,390,11.908680555,36.985069440000004,3.515284499668161e-18,-0.4235664335664336,medium,True,False
apereo/cas,lifetime,227,673,358.88611111,191.15416666,2.1887754563776163e-14,0.3387095718428236,medium,True,True
appcelerator/titanium_mobile,lifetime,5316,1265,64.60173610999999,79.67777778,0.004013892152839913,-0.05196751101157814,negligible,True,False
bcit-ci/CodeIgniter,lifetime,286,559,1151.795833335,706.8,6.354307193666239e-118,0.9696010608354079,large,True,True
bokeh/bokeh,lifetime,134,1417,16.88923611,21.91805556,0.03805733417991444,-0.10827478696847449,negligible,True,False
boto/boto,lifetime,205,715,41.40833334,22.4125,0.00011347296876168634,0.1766535903121269,small,True,True
buildbot/buildbot,lifetime,111,913,166.12916667000002,254.31944444,2.1805941413295387e-07,-0.3009679997631805,small,True,False
bundler/bundler,lifetime,193,410,96.90694445,90.48298611,0.17251311422700444,0.06882345507392898,negligible,False,True
cakephp/cakephp,lifetime,287,3653,23.84791667,32.23194445,6.573512627623829e-05,-0.14128142493735757,negligible,True,False
callemall/material-ui,lifetime,350,1323,12.19826389,22.09375,9.514403298715688e-16,-0.27885757477594214,small,True,False
chef/chef,lifetime,103,1667,1149.9444444399999,40.11736112,2.056376597450089e-31,0.6836593846279287,large,True,True
craftyjs/Crafty,lifetime,305,129,36.41666667,229.11666667,7.879761068993618e-31,-0.7008514423687889,large,True,False
cython/cython,lifetime,104,256,95.28437500000001,97.53715278,0.09187948102069927,0.1133563701923077,negligible,False,True
divio/django-cms,lifetime,131,1909,93.30625,37.08958333,3.8541576894238235e-10,0.32650482447546575,small,True,True
driftyco/ng-cordova,lifetime,115,175,19.89097222,19.082638890000002,0.09202363070794525,-0.11701863354037267,negligible,False,False
dropwizard/dropwizard,lifetime,157,560,29.06875,154.155902775,2.2483227268253438e-30,-0.5976114649681529,large,True,False
dropwizard/metrics,lifetime,121,102,133.45486111,155.94097222,0.45010825729162696,0.058823529411764705,negligible,False,True
elastic/kibana,lifetime,235,1681,216.89513889,70.15416666,2.7573228319234433e-51,0.6058982115508752,large,True,True
elastic/logstash,lifetime,458,446,49.11597222,29.192708335,2.502667580641047e-11,0.25645230775256034,small,True,True
ether/etherpad-lite,lifetime,317,602,76.19791667,27.716666664999998,4.200898917920009e-09,0.23556074913275413,small,True,True
fchollet/keras,lifetime,118,211,30.275347224999997,22.80694444,0.0034222728903239457,0.19459394328861757,small,True,True
fog/fog,lifetime,479,1694,25.074305560000003,21.937847220000002,0.0021531504351902505,0.09169412860815404,negligible,True,True
frappe/erpnext,lifetime,232,1791,162.56875,3.76805556,9.675952860961856e-44,0.558881572614028,large,True,True
getsentry/sentry,lifetime,121,1051,4.87361112,24.06180556,8.324548331524148e-16,-0.4463360357314168,medium,True,False
gollum/gollum,lifetime,116,104,40.61527778,24.789583335000003,0.21653655366855684,0.09665119363395225,negligible,False,True
grails/grails-core,lifetime,298,165,126.86354166999999,32.42777777,4.855084601203029e-16,0.45515558267236117,medium,True,True
hapijs/hapi,lifetime,400,469,5.6656249999999995,4.44861111,0.5261093164491599,-0.024930703624733475,negligible,False,False
haraka/Haraka,lifetime,328,600,22.37673611,73.90625,2.513329077606594e-34,-0.4846341463414634,large,True,False
humhub/humhub,lifetime,114,138,33.07222222,41.697916664999994,0.00023146617464237776,-0.26964149504195273,small,True,False
invoiceninja/invoiceninja,lifetime,286,143,11.297916664999999,22.69305555,1.188412415582131e-15,-0.4739596068267397,medium,True,False
ipython/ipython,lifetime,504,3272,517.851041665,112.33229166500001,6.2274960095445965e-263,0.9571375208600148,large,True,True
isagalaev/highlight.js,lifetime,105,158,44.69027778,27.825,3.269021410733346e-05,0.3025919228450874,small,True,True
jashkenas/backbone,lifetime,252,450,76.69756944,81.280555555,0.49532097062731306,-0.031005291005291005,negligible,False,False
jashkenas/underscore,lifetime,118,331,29.88715278,77.28680555,6.781188948730212e-08,-0.33447693174253673,medium,True,False
jhipster/generator-jhipster,lifetime,107,1243,6.470138889999999,9.29444444,0.0029534647416511552,-0.1729761430365185,small,True,False
jsbin/jsbin,lifetime,158,516,39.857291665,0.966666665,5.887036562424211e-32,0.6180698655676578,large,True,True
kivy/kivy,lifetime,157,1135,42.23888889,142.15694445,8.992042461353547e-30,-0.5573725413170965,large,True,False
laravel/laravel,lifetime,300,498,28.489236105,35.741319445,0.07683459962537537,-0.07471218206157965,negligible,False,False
loomio/loomio,lifetime,366,1420,97.01840278,154.28090277500002,1.3197671664710153e-07,-0.17862118063572693,small,True,False
mantl/mantl,lifetime,313,147,22.71875,28.45763889,0.22303529788541887,-0.07043967746843147,negligible,False,False
mapbox/mapbox-gl-js,lifetime,106,105,5.271875,12.54513889,9.266259718255634e-06,-0.3533692722371968,medium,True,False
matplotlib/matplotlib,lifetime,396,2074,122.87673611,123.636111115,0.6594656470302784,-0.013955855566270223,negligible,False,False
mizzy/serverspec,lifetime,100,256,0.077777775,0.6770833350000001,1.3144455359545523e-07,-0.3598046875,medium,True,False
mozilla-b2g/gaia,lifetime,4369,17690,132.92916667,114.189583325,6.610799765504124e-07,0.048501900886830374,negligible,True,True
