project,metric,n_before,n_after,median_before,median_after,p_value,cliffs_delta,effect_size,significant,faster_after_ci
AnalyticalGraphicsInc/cesium,merge_time,515,547,0.68402778,0.57638889,0.6228958061022095,0.01744377984061341,negligible,False,True
BabylonJS/Babylon.js,merge_time,259,566,0.23472222,0.03819444,5.519839171538785e-26,0.45685362293136145,medium,True,True
HabitRPG/habitica,merge_time,177,983,0.14444444,0.65138889,5.801053601663817e-07,-0.23569609922352305,small,True,False
Leaflet/Leaflet,merge_time,290,874,0.234375,0.13958333,0.08480271766461193,0.06746232147084352,negligible,False,True
Netflix/Hystrix,merge_time,146,438,0.010069445,0.01597222,0.00873346902025924,-0.14461750172014762,negligible,True,False
Pylons/pyramid,merge_time,138,1198,0.015625,0.00416667,2.936736301028328e-07,0.2621156033001863,small,True,True
ReactiveX/RxJava,merge_time,736,662,0.153125,0.51458333,3.3664983438957704e-11,-0.20475871863916983,small,True,False
TelescopeJS/Telescope,merge_time,156,141,0.16319444500000002,0.61319444,8.672532076858273e-10,-0.41212038552464086,medium,True,False
Theano/Theano,merge_time,616,1882,0.09513889,0.8958333350000001,1.0355855065675986e-37,-0.34406182287425646,medium,True,False
TryGhost/Ghost,merge_time,299,2275,0.34722222,0.84861111,1.036283764775844e-13,-0.2641523025469514,small,True,False
Yelp/mrjob,merge_time,168,274,0.76076389,0.07013889000000001,0.02878768555727722,0.1238486270420577,negligible,True,True
aframevr/aframe,merge_time,124,254,0.25173611,0.06875,0.08529447087547767,0.10896621793243587,negligible,False,True
alohaeditor/Aloha-Editor,merge_time,270,198,0.15902777499999998,1.0277777750000001,7.541339497929369e-07,-0.2674897119341564,small,True,False
androidannotations/androidannotations,merge_time,215,198,0.07291667,5.022916665,1.6684124706451457e-11,-0.3824054498473103,medium,True,False
andypetrella/spark-notebook,merge_time,150,143,0.00069444,0.04791667,3.000441126469465e-06,-0.3112820512820513,small,True,False
ansible/ansible,merge_time,3150,1462,0.446527775,0.346180555,9.132572833315961e-05,0.07149241091785552,negligible,True,True
apache/incubator-airflow,merge_time,220,390,0.078472225,0.275694445,2.480022556639852e-06,-0.22937062937062938,small,True,False
apereo/cas,merge_time,227,673,2.51458333,1.36875,0.03337683226956612,0.09433727605370129,negligible,True,True
appcelerator/titanium_mobile,merge_time,5316,1265,0.903125,0.35486111,1.4492936859364334e-15,0.1441578410466427,negligible,True,True
bcit-ci/CodeIgniter,merge_time,286,559,0.42743055500000005,0.44930556,0.2948184632913077,0.04400340267961019,negligible,False,True
bokeh/bokeh,merge_time,134,1417,0.36319444,0.98125,0.00018980092466604187,-0.1948145651418279,small,True,False
boto/boto,merge_time,205,715,0.91041667,2.10486111,2.0791863084340797e-05,-0.19479447381886406,small,True,False
buildbot/buildbot,merge_time,111,913,0.34027778,1.14861111,1.6101354429806176e-07,-0.3042341355594368,small,True,False
bundler/bundler,merge_time,193,410,0.55347222,0.937152775,0.5409923434520505,-0.030847971692152153,negligible,False,False
cakephp/cakephp,merge_time,287,3653,0.12361111,0.27430556,3.259960012864952e-09,-0.2094827314860298,small,True,False
callemall/material-ui,merge_time,350,1323,0.56701389,0.63125,0.42041473514878747,-0.027971061440449196,negligible,False,False
chef/chef,merge_time,103,1667,0.27777778,0.9625,0.0012129907076847862,-0.18973680991956948,small,True,False
craftyjs/Crafty,merge_time,305,129,0.53402778,2.58541667,8.647565860541701e-09,-0.3492947007243614,medium,True,False
cython/cython,merge_time,104,256,0.87118056,0.81840278,0.8497822984556376,0.012770432692307692,negligible,False,True
divio/django-cms,merge_time,131,1909,0.10486111,0.45347222,0.009148608667407243,-0.13594104263052875,negligible,True,False
driftyco/ng-cordova,merge_time,115,175,0.21875,0.41458333,0.03879600138555855,-0.1435031055900621,negligible,True,False
dropwizard/dropwizard,merge_time,157,560,0.39583333,0.5354166650000001,0.011588350602645752,-0.13172202001819835,negligible,True,False
dropwizard/metrics,merge_time,121,102,0.26111111,2.064583335,9.260956807403187e-06,-0.3449197860962567,medium,True,False
elastic/kibana,merge_time,235,1681,0.0,0.78958333,5.863031898287712e-53,-0.6158213829154379,large,True,False
elastic/logstash,merge_time,458,446,0.78194444,0.257291665,3.339603837755987e-09,0.22707913133726282,small,True,True
ether/etherpad-lite,merge_time,317,602,0.10208333,0.11527778,0.8739700741748111,-0.006356309672280621,negligible,False,False
fchollet/keras,merge_time,118,211,0.220138885,0.23263889,0.19513518790113504,-0.08615149811229818,negligible,False,False
fog/fog,merge_time,479,1694,0.23194444,0.7611111150000001,3.3290955978887206e-13,-0.21756882328148222,small,True,False
frappe/erpnext,merge_time,232,1791,0.00208333,0.14444444,8.237901741240148e-31,-0.46432594004505284,medium,True,False
