project,median_before,median_after
AnalyticalGraphicsInc/cesium,38.0,45.0
BabylonJS/Babylon.js,0.0,92.0
HabitRPG/habitica,98.0,2.0
Leaflet/Leaflet,7.0,35.0
Netflix/Hystrix,2.0,6.0
Pylons/pyramid,7.5,17.5
ReactiveX/RxJava,7.0,19.0
TelescopeJS/Telescope,7.5,5.0
Theano/Theano,30.0,41.0
TryGhost/Ghost,44.0,39.0
Yelp/mrjob,5.0,12.5
aframevr/aframe,87.0,61.0
alohaeditor/Aloha-Editor,5.0,3.0
androidannotations/androidannotations,20.0,29.0
andypetrella/spark-notebook,3.5,41.0
ansible/ansible,105.0,25.0
apache/incubator-airflow,0.0,6.0
apereo/cas,0.0,38.0
appcelerator/titanium_mobile,32.0,75.0
bcit-ci/CodeIgniter,159.5,86.0
bokeh/bokeh,12.0,76.0
boto/boto,12.0,14.0
buildbot/buildbot,0.0,31.0
bundler/bundler,5.0,7.0
cakephp/cakephp,19.5,60.5
callemall/material-ui,12.0,32.5
chef/chef,0.0,1.0
craftyjs/Crafty,5.0,3.0
cython/cython,0.0,4.5
divio/django-cms,7.0,52.0
driftyco/ng-cordova,22.5,9.0
dropwizard/dropwizard,1.0,12.5
dropwizard/metrics,1.0,42.0
elastic/kibana,35.0,108.0
elastic/logstash,6.5,50.0
ether/etherpad-lite,23.0,26.0
fchollet/keras,66.0,46.0
fog/fog,0.0,45.0
frappe/erpnext,3.0,4.0
getsentry/sentry,0.0,2.0
gollum/gollum,0.0,5.0
grails/grails-core,8.0,8.0
hapijs/hapi,5.0,2.0
haraka/Haraka,2.0,13.0
humhub/humhub,8.0,10.0
invoiceninja/invoiceninja,3.0,3.0
ipython/ipython,113.5,90.5
isagalaev/highlight.js,0.0,16.0
jashkenas/backbone,10.5,42.0
jashkenas/underscore,0.0,47.0
jhipster/generator-jhipster,2.0,11.0
jsbin/jsbin,1.0,1.0
kivy/kivy,13.0,103.0
laravel/laravel,10.0,27.5
loomio/loomio,8.5,42.0
mantl/mantl,1.0,2.5
mapbox/mapbox-gl-js,4.0,16.0
matplotlib/matplotlib,0.0,20.0
mizzy/serverspec,1.0,1.0
mozilla-b2g/gaia,269.0,843.0
mozilla/pdf.js,388.0,49.5
openhab/openhab,0.0,153.0
owncloud/core,79.5,47.5
photonstorm/phaser,3.0,28.0
processing/p5.js,4.5,12.5
puppetlabs/puppet,0.0,57.5
pyrocms/pyrocms,0.0,10.5
rails/rails,0.0,99.0
refinery/refinerycms,0.0,31.0
request/request,0.0,0.0
robolectric/robolectric,3.0,31.5
roots/sage,15.0,14.5
saltstack/salt,5.5,222.0
scikit-image/scikit-image,12.0,3.0
scikit-learn/scikit-learn,0.0,54.5
scipy/scipy,0.0,41.0
sensu/sensu,1.0,3.0
serverless/serverless,4.5,31.0
siacs/Conversations,5.0,1.0
spinnaker/spinnaker,3.0,3.0
square/picasso,7.0,12.0
sympy/sympy,0.0,18.5
twbs/bootstrap,48.5,183.0
vanilla/vanilla,1.0,55.5
woocommerce/woocommerce,2.0,14.5
yiisoft/yii,0.0,82.5
zurb/foundation-sites,4.5,24.0
