project,median_before,median_after
AnalyticalGraphicsInc/cesium,35.0,45.0
BabylonJS/Babylon.js,0.0,82.5
HabitRPG/habitica,82.0,1.0
Leaflet/Leaflet,3.0,19.0
Netflix/Hystrix,2.0,5.0
Pylons/pyramid,4.5,16.5
ReactiveX/RxJava,6.0,15.0
TelescopeJS/Telescope,5.0,1.5
Theano/Theano,28.5,28.0
TryGhost/Ghost,29.0,33.0
Yelp/mrjob,3.0,12.0
aframevr/aframe,65.0,52.0
alohaeditor/Aloha-Editor,3.0,3.0
androidannotations/androidannotations,15.5,25.0
andypetrella/spark-notebook,3.5,38.0
ansible/ansible,60.0,15.0
apache/incubator-airflow,0.0,4.0
apereo/cas,0.0,33.0
appcelerator/titanium_mobile,25.5,57.0
bcit-ci/CodeIgniter,69.0,30.0
bokeh/bokeh,9.0,63.0
boto/boto,14.0,8.0
buildbot/buildbot,0.0,28.5
bundler/bundler,1.0,5.0
cakephp/cakephp,5.5,46.0
callemall/material-ui,10.0,23.5
chef/chef,0.0,1.0
craftyjs/Crafty,5.0,3.5
cython/cython,0.0,2.5
divio/django-cms,3.0,43.0
driftyco/ng-cordova,16.5,9.0
dropwizard/dropwizard,0.0,10.5
dropwizard/metrics,0.0,20.0
elastic/kibana,13.0,77.0
elastic/logstash,2.5,9.5
ether/etherpad-lite,17.0,20.0
fchollet/keras,47.0,32.0
fog/fog,0.0,39.5
frappe/erpnext,3.0,3.0
getsentry/sentry,0.0,2.0
gollum/gollum,0.0,4.0
grails/grails-core,5.0,4.0
hapijs/hapi,4.0,2.0
haraka/Haraka,2.0,14.0
humhub/humhub,6.0,6.5
invoiceninja/invoiceninja,3.0,2.0
ipython/ipython,62.0,68.5
isagalaev/highlight.js,0.0,12.0
jashkenas/backbone,5.0,26.0
jashkenas/underscore,0.0,20.0
jhipster/generator-jhipster,2.0,8.5
jsbin/jsbin,1.0,0.0
kivy/kivy,10.5,89.0
laravel/laravel,4.5,7.5
loomio/loomio,5.0,34.0
mantl/mantl,1.0,2.5
mapbox/mapbox-gl-js,2.5,12.0
matplotlib/matplotlib,0.0,16.5
mizzy/serverspec,1.0,1.0
mozilla-b2g/gaia,222.0,658.0
mozilla/pdf.js,326.0,43.0
openhab/openhab,0.0,119.0
owncloud/core,61.0,32.0
photonstorm/phaser,1.0,17.0
processing/p5.js,4.0,10.0
puppetlabs/puppet,0.0,39.0
pyrocms/pyrocms,0.0,7.0
rails/rails,0.0,63.0
refinery/refinerycms,0.0,28.0
request/request,0.0,0.0
robolectric/robolectric,3.0,24.0
roots/sage,8.5,10.0
saltstack/salt,5.5,208.0
scikit-image/scikit-image,9.0,3.0
scikit-learn/scikit-learn,0.0,33.0
scipy/scipy,0.0,37.0
sensu/sensu,1.0,2.0
serverless/serverless,2.5,26.0
siacs/Conversations,3.0,0.0
spinnaker/spinnaker,3.0,3.0
square/picasso,5.0,7.0
sympy/sympy,0.0,13.5
twbs/bootstrap,8.5,58.0
vanilla/vanilla,0.0,48.5
woocommerce/woocommerce,1.0,6.0
yiisoft/yii,0.0,28.0
zurb/foundation-sites,2.5,20.0
