project,before,after
AnalyticalGraphicsInc/cesium,12.012044394207098,12.294648382385231
BabylonJS/Babylon.js,17.89055209666475,5.18219006425456
HabitRPG/habitica,0.8930366369825427,80.58419594990939
Leaflet/Leaflet,5.340738415191741,3.9602054584348343
Netflix/Hystrix,19.897276314258917,17.36627822772463
Pylons/pyramid,4.872895048611559,6.969528355674584
ReactiveX/RxJava,28.6377929124758,18.58611495133829
TelescopeJS/Telescope,4.991128580100974,12.90758447280691
Theano/Theano,0.4839978761981297,2.0815048973831067
TryGhost/Ghost,15.297046826358875,14.262179770280094
Yelp/mrjob,10.125784835870743,4.0111170429630985
aframevr/aframe,6.008801774241897,7.710351376878826
alohaeditor/Aloha-Editor,23.21868714043175,79.83560500145596
androidannotations/androidannotations,3.7738004801284353,3.1454607131382812
andypetrella/spark-notebook,5.804331825835006,3.414257658221747
ansible/ansible,17.058243159437577,11.665911404046604
apache/incubator-airflow,25.851449717272637,38.91306795759366
apereo/cas,4.396741979477867,11.210046917282684
appcelerator/titanium_mobile,9.79756562595472,10.402583951654853
bcit-ci/CodeIgniter,0.6893922916705066,4.2445451122925855
bokeh/bokeh,4.368312291454479,8.878630245127889
boto/boto,9.98418029080297,13.985017170368598
buildbot/buildbot,3.3594102671297037,2.3610939045762955
bundler/bundler,10.941539700438904,26.390155301986383
cakephp/cakephp,5.2797416276716085,32.761164383328634
callemall/material-ui,26.939880058903455,23.529478649787244
chef/chef,11.802159414509614,145.2964342860845
craftyjs/Crafty,6.801750324571806,1.9272228719392477
cython/cython,3.7044295517083463,5.868866456337227
divio/django-cms,2.7496881315041484,12.352992216080626
driftyco/ng-cordova,15.975112836611506,12.202575282418685
dropwizard/dropwizard,15.250082638719743,6.828043839404091
dropwizard/metrics,6.893561383426064,3.1563312959645695
elastic/kibana,6.797613830241369,18.081827374111388
elastic/logstash,7.590349024765307,11.026107113915241
ether/etherpad-lite,4.265005739042965,7.264904186582673
fchollet/keras,9.263894711880651,14.17871953695951
fog/fog,38.72574979627253,10.194603906026595
frappe/erpnext,6.635533408602454,129.19793930809783
getsentry/sentry,39.219910261219084,32.56533906970326
gollum/gollum,19.584007512591196,6.087253409873443
grails/grails-core,5.064755028588065,20.466903066972744
hapijs/hapi,28.91031454944717,48.2095463960598
haraka/Haraka,17.162734407726273,6.34729717525806
humhub/humhub,7.948734877077281,5.35488232171147
invoiceninja/invoiceninja,24.553568302455062,33.76648528462144
ipython/ipython,1.2358637141866766,6.796781507508454
isagalaev/highlight.js,3.24831264807331,7.7197325395327505
jashkenas/backbone,7.2573958093688296,3.9280951862448226
jashkenas/underscore,15.927812032865317,4.1476638570109
jhipster/generator-jhipster,43.95086732686373,35.90060506750294
jsbin/jsbin,14.749704129197792,140.8593025161839
kivy/kivy,5.714355472043515,2.6154284115866533
laravel/laravel,39.73024959077569,9.30268682753773
loomio/loomio,4.592919825913742,14.158029664933052
mantl/mantl,6.8445280386723555,14.896225923764481
mapbox/mapbox-gl-js,21.281692904441712,22.495653117808747
matplotlib/matplotlib,1.422781672440374,3.109492360250525
mizzy/serverspec,330.75373127825,49.23289914019908
mozilla-b2g/gaia,2.1247699281343135,16.63597524493437
mozilla/pdf.js,1.7352925902716057,11.704799421747836
openhab/openhab,2.8530047127519667,5.032198954983461
owncloud/core,13.056061794198557,30.049612372549525
photonstorm/phaser,25.111701459575077,11.361499947256453
processing/p5.js,9.30968411567582,16.288466945136673
puppetlabs/puppet,13.259966552233909,16.05176845404907
pyrocms/pyrocms,13.621265070387283,3.6424808326523785
rails/rails,10.406072611477029,20.33642934791792
refinery/refinerycms,41.91241034036337,3.2448260059885783
request/request,6.427372210398375,34.837198563179406
robolectric/robolectric,4.930782429301027,3.4596925172731243
roots/sage,7.146894226866799,6.368830301598754
saltstack/salt,13.515275582988956,19.964067423804387
scikit-image/scikit-image,4.134103890228836,5.002857381106565
scikit-learn/scikit-learn,5.437991435971092,3.678629767064178
scipy/scipy,3.2325477526980357,5.099006946196441
sensu/sensu,70.05547545822895,15.112861599860464
serverless/serverless,28.05311462507316,16.69971408296198
siacs/Conversations,28.326317349452452,45.413285250923195
spinnaker/spinnaker,10.370557994529182,55.214560574244565
square/picasso,11.46772091213834,7.971711911340547
sympy/sympy,5.958189811098181,2.344115773659747
twbs/bootstrap,10.053658634490812,5.4107112454480815
vanilla/vanilla,8.207785978522912,6.096662466497821
woocommerce/woocommerce,40.7944859497066,25.79601546909001
yiisoft/yii,6.209447121198657,1.7356421476102113
zurb/foundation-sites,23.689237701325418,13.74103282883775
