project,median_before,median_after
AnalyticalGraphicsInc/cesium,36.0,43.0
BabylonJS/Babylon.js,0.0,51.0
HabitRPG/habitica,61.0,0.0
Leaflet/Leaflet,0.0,4.0
Netflix/Hystrix,1.0,5.0
Pylons/pyramid,0.0,3.0
ReactiveX/RxJava,5.0,0.0
TelescopeJS/Telescope,4.0,2.0
Theano/Theano,177.0,616.0
TryGhost/Ghost,30.0,34.0
Yelp/mrjob,2.0,8.0
aframevr/aframe,4.0,0.0
alohaeditor/Aloha-Editor,1.0,0.0
androidannotations/androidannotations,6.5,23.0
andypetrella/spark-notebook,0.0,15.0
ansible/ansible,0.0,2.0
apache/incubator-airflow,1.0,1.0
apereo/cas,0.0,2.5
appcelerator/titanium_mobile,0.0,20.5
bcit-ci/CodeIgniter,2.5,3.5
bokeh/bokeh,12.0,57.5
boto/boto,13.0,5.0
buildbot/buildbot,0.0,30.0
bundler/bundler,0.0,0.0
cakephp/cakephp,0.0,6.5
callemall/material-ui,6.5,17.5
chef/chef,0.0,1.0
craftyjs/Crafty,6.0,52.5
cython/cython,0.0,4.0
divio/django-cms,0.0,8.0
driftyco/ng-cordova,14.0,5.0
dropwizard/dropwizard,0.0,1.5
dropwizard/metrics,0.0,8.5
elastic/kibana,4.0,2.0
elastic/logstash,1.0,0.0
ether/etherpad-lite,23.0,18.0
fchollet/keras,29.0,0.0
fog/fog,0.0,35.5
frappe/erpnext,3.0,2.0
getsentry/sentry,0.0,0.0
gollum/gollum,0.0,4.0
grails/grails-core,0.0,1.0
hapijs/hapi,3.5,2.0
haraka/Haraka,2.0,11.0
humhub/humhub,6.0,10.0
invoiceninja/invoiceninja,3.0,0.0
ipython/ipython,0.0,2.0
isagalaev/highlight.js,0.0,8.0
jashkenas/backbone,1.0,25.0
jashkenas/underscore,0.0,19.0
jhipster/generator-jhipster,2.0,6.0
jsbin/jsbin,1.0,0.0
kivy/kivy,8.0,62.0
laravel/laravel,1.0,5.0
loomio/loomio,1.0,34.0
mantl/mantl,19.5,27.0
mapbox/mapbox-gl-js,1.5,1.0
matplotlib/matplotlib,0.0,77.5
mizzy/serverspec,1.0,1.0
mozilla-b2g/gaia,79.0,9.0
mozilla/pdf.js,318.0,39.5
openhab/openhab,0.0,5.0
owncloud/core,2.0,13.0
photonstorm/phaser,1.0,17.0
processing/p5.js,3.5,8.0
puppetlabs/puppet,0.0,9.0
pyrocms/pyrocms,0.0,11.0
rails/rails,0.0,2.0
refinery/refinerycms,0.0,9.0
request/request,0.0,0.0
robolectric/robolectric,0.0,63.5
roots/sage,7.5,8.5
saltstack/salt,1.0,4.0
scikit-image/scikit-image,0.0,1.0
scikit-learn/scikit-learn,0.0,1.0
scipy/scipy,0.0,5.0
sensu/sensu,1.0,3.0
serverless/serverless,3.0,8.0
siacs/Conversations,4.0,0.0
spinnaker/spinnaker,3.0,1.0
square/picasso,7.0,7.0
sympy/sympy,0.0,386.0
twbs/bootstrap,5.5,42.0
vanilla/vanilla,0.0,3.5
woocommerce/woocommerce,0.0,0.0
yiisoft/yii,0.0,93.5
zurb/foundation-sites,6.0,20.0
