project,median_before,median_after
AnalyticalGraphicsInc/cesium,47341.5,22470.0
BabylonJS/Babylon.js,1091.0,148233.0
HabitRPG/habitica,4762.0,273.0
Leaflet/Leaflet,2410.0,10355.0
Netflix/Hystrix,2.0,1115.0
Pylons/pyramid,249.5,1429.5
ReactiveX/RxJava,3028.0,7367.0
TelescopeJS/Telescope,658.0,956.0
Theano/Theano,7939.0,3771.0
TryGhost/Ghost,9400.0,9054.0
Yelp/mrjob,1735.0,3691.5
aframevr/aframe,1169346.5,150121.5
alohaeditor/Aloha-Editor,1275.0,98.0
androidannotations/androidannotations,6763.0,7988.5
andypetrella/spark-notebook,1828.0,57375.5
ansible/ansible,6933.0,1936.0
apache/incubator-airflow,1609.5,744.0
apereo/cas,32487.0,34447.0
appcelerator/titanium_mobile,26875.5,36689.5
bcit-ci/CodeIgniter,26300.0,6827.5
bokeh/bokeh,10048.0,38119.0
boto/boto,1859.5,1051.0
buildbot/buildbot,2259.0,16075.0
bundler/bundler,383.5,332.0
cakephp/cakephp,7883.0,10229.5
callemall/material-ui,1008.0,6962.0
chef/chef,952.0,133.0
craftyjs/Crafty,883.0,173.5
cython/cython,229.0,350.0
divio/django-cms,18727.5,23622.0
driftyco/ng-cordova,3730.0,2884.0
dropwizard/dropwizard,360.0,1388.0
dropwizard/metrics,929.0,6290.0
elastic/kibana,101958.0,35161.0
elastic/logstash,735.5,9290.0
ether/etherpad-lite,3794.0,2365.0
fchollet/keras,4533.5,4171.5
fog/fog,1603.0,19953.5
frappe/erpnext,107.0,469.0
getsentry/sentry,9.5,325.5
gollum/gollum,48.5,181.0
grails/grails-core,1007.0,785.0
hapijs/hapi,2428.0,104.5
haraka/Haraka,170.5,2017.0
humhub/humhub,6813.5,2649.5
invoiceninja/invoiceninja,1556.0,6602.0
ipython/ipython,76995.0,16584.5
isagalaev/highlight.js,1822.5,1570.0
jashkenas/backbone,273.0,5039.0
jashkenas/underscore,197.0,1820.0
jhipster/generator-jhipster,462.0,758.0
jsbin/jsbin,63.0,96.0
kivy/kivy,1841.5,11438.0
laravel/laravel,76.0,771.0
loomio/loomio,2701.5,13462.0
mantl/mantl,213.0,542.0
mapbox/mapbox-gl-js,926.0,2356.0
matplotlib/matplotlib,3607.5,19152.0
mizzy/serverspec,52.5,33.0
mozilla-b2g/gaia,155163.0,504771.5
mozilla/pdf.js,69585.0,8477.5
openhab/openhab,62311.0,83862.0
owncloud/core,33475.0,8899.0
photonstorm/phaser,4321.0,2230.0
processing/p5.js,1956.0,1432.0
puppetlabs/puppet,3879.0,11465.0
pyrocms/pyrocms,1327.5,1182.0
rails/rails,4353.5,12967.0
refinery/refinerycms,679.5,5309.0
request/request,55.5,252.0
robolectric/robolectric,2033.0,7556.0
roots/sage,2414.0,840.0
saltstack/salt,2068.0,32762.0
scikit-image/scikit-image,5105.0,1551.0
scikit-learn/scikit-learn,1079.0,56198.0
scipy/scipy,745.0,23155.0
sensu/sensu,92.0,74.0
serverless/serverless,758.0,14174.0
siacs/Conversations,471.0,61.5
spinnaker/spinnaker,846.0,110.0
square/picasso,253.0,712.0
sympy/sympy,13238.0,3099.5
twbs/bootstrap,2547.0,50935.0
vanilla/vanilla,508.0,29939.0
woocommerce/woocommerce,7485.5,1145.0
yiisoft/yii,90771.0,24999.5
zurb/foundation-sites,338.0,864.0
